sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.7393;8.3736;3.7523;3.4878;8.9508;1.9721;-1.189;0.4582;-1.7142;0.2046;0.4863;0.6107;3.3736;19.72;-30.42;-10.22;219.22;-66.83;-59.52;5.0;42.228;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;20007;2018-08-07 23:01:29:968
0.8551;9.4366;3.7523;-4.4363;8.5708;1.7412;6.4562;0.9235;0.9952;-0.2269;0.3627;1.1711;0.0;18.21;-11.63;10.72;291.86;-59.73;69.89;5.0;44.037;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;20507;2018-08-07 23:01:30:468
-1.6205;9.3074;1.0037;-1.3227;9.5583;1.749;-0.4972;-0.0924;-0.4919;-0.1885;0.0175;0.1878;0.0;14.85;-17.93;6.48;271.13;-77.12;37.72;0.0;56.03;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;21007;2018-08-07 23:01:30:968
1.5399;6.7695;-1.8621;4.5246;8.5742;1.4769;-2.5116;-1.5137;-3.3525;-0.8788;-0.0368;-0.625;3.3736;6.38;-22.11;-2.37;192.69;-60.07;-74.83;0.0;44.053;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;21507;2018-08-07 23:01:31:468
31.2328;18.209;11.8758;-1.759;9.5849;1.0981;32.495;7.967;8.7124;-0.4197;-0.6227;2.2928;0.0;17.95;-2.48;-6.43;358.35;-74.49;70.02;0.0;45.439;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;22008;2018-08-07 23:01:31:969
-1.2494;9.4271;1.2455;-0.6625;9.5985;1.8973;0.0309;0.5993;1.2374;-0.197;-0.1923;0.4627;10.1208;17.19;-6.22;-7.73;321.73;-78.45;26.33;0.0;60.342;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;22507;2018-08-07 23:01:32:468
-0.591;11.8045;0.6159;-0.0164;9.6064;1.9716;-0.7415;2.9678;-0.7888;0.2461;1.2735;-4.2543;5.0604;17.01;-15.23;-15.09;269.95;-76.19;-32.11;0.0;46.59;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;23008;2018-08-07 23:01:32:969
-3.1336;8.7998;1.4778;-1.4153;9.641;1.1043;-2.0137;-0.6927;0.4351;-0.1906;-0.1199;0.1953;10.1208;34.63;-12.3;-5.02;335.46;-79.33;57.62;0.0;56.708;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;23507;2018-08-07 23:01:33:468
-6.7201;10.1741;-0.8613;-1.0658;9.4434;2.42;-3.9608;1.4632;-1.4564;-0.6508;3.0706;-0.0977;11.8076;34.8;-14.97;-4.02;292.26;-74.97;22.49;0.0;39.749;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;24008;2018-08-07 23:01:33:969
-4.1176;7.7176;1.6813;-1.8465;9.3197;2.4297;-2.4369;-1.4724;-0.8358;-0.8554;3.1398;0.3135;0.0;-4.67;-25.64;34.08;209.71;-72.78;35.36;0.0;34.061;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;24507;2018-08-07 23:01:34:468
-1.1368;9.3265;1.9877;-1.8361;9.4958;1.6213;0.7429;0.1091;0.6369;0.1055;0.0772;0.0472;0.0;-25.46;-25.92;19.82;177.66;-75.45;48.6;0.0;35.231;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;25008;2018-08-07 23:01:34:969
-5.5302;13.5116;3.9965;2.418;9.4123;1.3164;-7.755;4.1494;2.7534;0.1886;-0.5215;3.6329;0.0;-32.44;-13.29;20.48;87.39;-79.25;-38.04;0.0;37.724;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;25507;2018-08-07 23:01:35:468
13.487;14.8715;5.5144;-1.0271;9.6212;1.5961;11.1793;0.447;-26.7987;-1.0844;-0.9242;1.5684;0.0;-21.75;-14.37;14.16;167.25;-77.43;43.59;0.0;55.859;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;26007;2018-08-07 23:01:35:968
